Country,1945,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020
Nauru,4000,4000,4000,5000,6000,7000,8000,8000,9000,10000,10000,10000,11000,10000,10000,10000
Nepal,8525327,8990000,9480000,10035000,10863000,11919000,13156000,14666000,16570000,18919000,21877000,24819000,27094000,28952000,31552000,34209000
Netherlands,9520833,10121000,10759000,11494000,12302000,13043000,13665000,14156000,14505000,14966000,15477000,15931000,16300000,16574000,16948000,17281000
New Caledonia,48246,56000,65000,79000,91000,113000,134000,140000,153000,169000,192000,212000,233000,253000,272000,291000
New Zealand,1705326,1909000,2137000,2372000,2641000,2829000,3118000,3171000,3324000,3414000,3643000,3803000,4049000,4253000,4439000,4715000
Nicaragua,943352,1098000,1278000,1493000,1751000,2053000,2395000,2804000,3181000,3644000,4402000,4867000,5268000,5605000,5908000,6204000
Niger,3007299,3272000,3560000,3913000,4344000,4841000,5420000,6094000,6870000,7826000,9111000,10726000,12783000,15271000,18046000,21152000
Nigeria,28119850,31797000,35955000,41551000,48068000,55591000,64428000,74829000,84898000,96685000,109753000,123946000,141190000,160342000,181563000,204950000
North Korea,10121704,9472000,8864000,10448000,11965000,14062000,16015000,17391000,18831000,20452000,22108000,22785000,23621000,24326000,24984000,25644000
Northern Mariana Islands,6125,7000,8000,9000,11000,13000,15000,17000,22000,45000,58000,70000,71000,54000,53000,58000
Norway,3111656,3266000,3428000,3582000,3724000,3878000,4008000,4086000,4153000,4243000,4360000,4493000,4625000,4892000,5208000,5468000
Oman,442817,489000,540000,602000,682000,784000,921000,1186000,1498000,1795000,2139000,2433000,2697000,2968000,3287000,3635000
Pakistan,35813130,40383000,45536000,51719000,59047000,67492000,76457000,85220000,102079000,118817000,134186000,152430000,169279000,184405000,199086000,213720000
Palau,7111,8000,9000,10000,11000,13000,13000,14000,14000,16000,18000,20000,21000,21000,22000,22000
Palestine,982298,1018000,1055000,1115000,1212000,1033000,1201000,1361000,1578000,1899000,2508000,3111000,3599000,4120000,4656000,5181000
Panama,788773,893000,1011000,1148000,1326000,1532000,1750000,1960000,2168000,2394000,2639000,2900000,3156000,3411000,3658000,3895000
Papua New Guinea,1291442,1413000,1546000,1719000,1941000,2214000,2505000,2847000,3229000,3683000,4216000,4813000,5440000,6065000,6673000,7260000
Paraguay,1293691,1476000,1684000,1910000,2171000,2477000,2849000,3172000,3634000,4201000,4826000,5419000,5926000,6376000,6784000,7192000
Peru,6718484,7633000,8672000,9932000,11468000,13193000,15162000,17296000,19380000,21565000,23864000,25797000,27443000,28948000,30445000,31915000
